Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Was In Previous Season 1,Was In Previous Season 2,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2025-10-22 00:00:00,19h20,Caixa UA,Música,0,9,Gestão e Planeamento em Turismo,2,A,Excel,Excel,False,False,,341,535,2.0,2.0,1.335141362540313,267.0282725080626,267.0282725080626,-0.14346475985469692,0.14346475985469687,-38,38,303,573,False,True,True,0,0,303,573
1,2025-10-22 00:00:00,19h40,Caixa UA,Física,7,10,Línguas e Relações Empresariais,2,A,Excel,Excel,False,False,,560,635,2.0,2.0,1.0363112099103142,207.26224198206285,207.26224198206285,-0.3338605754168779,0.33386057541687786,-69,69,491,704,False,True,True,0,0,491,704
2,2025-10-22 00:00:00,20h00,Caixa UA,Contabilidade,7,2,Música,2,A,Excel,Excel,False,False,,811,303,2.0,1.3333333333333333,1.1334615816706974,226.6923163341395,151.1282108894263,0.009204160312312526,-0.009204160312312639,2,-1,813,302,False,True,True,0,0,813,302
2,2025-10-22 00:00:00,20h20,Caixa UA,Gestão e Planeamento em Turismo,16,5,Economia,2,A,Excel,Excel,False,False,,573,551,1.3333333333333333,2.0,1.1233497625229583,149.7799683363944,224.66995250459166,0.44951574133568395,-0.449515741335684,67,-101,640,450,False,True,True,0,0,640,450
1,2025-10-22 00:00:00,20h40,Caixa UA,MTC,6,11,Eng. Mecânica,1,,Excel,Excel,False,False,,744,1381,2.0,2.0,1.0624882685141506,212.49765370283012,212.49765370283012,-0.0028233978497267057,0.0028233978497267387,-1,1,743,1382,False,True,True,0,0,743,1382
2,2025-10-22 00:00:00,20h40,Caixa UA,Design,16,14,Física,2,A,Excel,Excel,False,False,,545,491,2.0,1.3333333333333333,1.0134426905796656,202.6885381159331,135.12569207728873,0.37816165980788663,-0.3781616598078867,77,-51,622,440,False,True,True,0,0,622,440
1,2025-10-22 00:00:00,21h00,Caixa UA,Tecnologias de Informação,4,7,Matemática,1,,Excel,Excel,False,False,,810,756,2.0,2.0,1.0575570503382523,211.51141006765047,211.51141006765047,-0.6218383401921134,0.6218383401921133,-132,132,678,888,False,True,True,0,0,678,888
2,2025-10-22 00:00:00,21h00,Caixa UA,Línguas e Relações Empresariais,6,8,Biologia e Geologia,2,A,Excel,Excel,False,False,,704,362,1.3333333333333333,2.0,1.0291860089647606,137.2248011953014,205.83720179295213,-0.9589062159936033,0.9589062159936034,-132,197,572,559,False,True,True,0,0,572,559
1,2025-10-22 00:00:00,21h20,Caixa UA,Biologia,3,8,Eng. Eletrónica e Telecomunicações,1,,Excel,Excel,False,False,,782,1149,2.0,2.0,1.10305425242207,220.610850484414,220.610850484414,-0.03292018878326737,0.0329201887832673,-7,7,775,1156,False,True,True,0,0,775,1156
1,2025-10-22 00:00:00,21h20,Caixa UA,Psicologia,11,2,Eng. Mecânica B,2,B,Excel,Excel,False,False,,418,228,2.0,2.0,1.185867778627801,237.1735557255602,237.1735557255602,0.14805165414742627,-0.14805165414742621,35,-35,453,193,False,True,True,0,0,453,193
1,2025-10-22 00:00:00,21h40,Caixa UA,Eng. e Gestão Industrial,5,3,Biotecnologia,1,,Excel,Excel,False,False,,1006,779,2.0,2.0,1.0524097791489255,210.4819558297851,210.4819558297851,0.10999939620273003,-0.10999939620273004,23,-23,1029,756,False,True,True,0,0,1029,756
