Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Was In Previous Season 1,Was In Previous Season 2,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2025-10-20 00:00:00,21h00,Sintético,Eng. Informática,1,4,Tecnologias de Informação,2,A,Excel,Excel,False,False,,443,607,2.0,2.0,1.148698354997035,229.73967099940702,229.73967099940702,-0.18086532413007064,0.18086532413007061,-42,42,401,649,False,True,True,0,0,401,649
1,2025-10-20 00:00:00,22h00,Sintético,Eng. Civil,4,3,Ciências Biomédicas,2,B,Excel,Excel,False,False,,936,903,2.0,2.0,1.0291860089647606,205.83720179295213,205.83720179295213,0.42459430004050647,-0.42459430004050647,87,-87,1023,816,False,True,True,0,0,1023,816
1,2025-10-20 00:00:00,23h00,Sintético,Fisioterapia,1,1,Biotecnologia,1,,Excel,Excel,False,False,,1255,985,2.0,2.0,1.0,200.0,200.0,-0.42321068030289977,0.42321068030289977,-85,85,1170,1070,False,True,True,0,0,1170,1070
1,2025-10-21 00:00:00,21h00,Sintético,Gestão e Planeamento em Turismo,2,0,Administração Pública,1,,Excel,Excel,False,False,,1175,557,2.0,2.0,1.148698354997035,229.73967099940702,229.73967099940702,0.0033615350554705437,-0.003361535055470468,1,-1,1176,556,False,True,True,0,0,1176,556
1,2025-10-21 00:00:00,22h00,Sintético,Eng. Computadores e Telemática,1,2,Economia,1,,Excel,Excel,False,False,,787,819,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,-0.4268460629163189,0.4268460629163189,-91,91,696,910,False,True,True,0,0,696,910
1,2025-10-22 00:00:00,20h00,Sintético,Biologia,1,5,Geologia,2,A,Excel,Excel,False,False,,284,546,2.0,2.0,1.174618943088019,234.9237886176038,234.9237886176038,-0.08217850295206972,0.08217850295206974,-19,19,265,565,False,True,True,0,0,265,565
1,2025-10-22 00:00:00,22h00,Sintético,Eng. e Gestão Industrial,2,1,Eng. Eletrónica e Telecomunicações,1,,Excel,Excel,False,False,,1085,939,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,0.2067366179272918,-0.20673661792729187,44,-44,1129,895,False,True,True,0,0,1129,895
1,2025-10-22 00:00:00,23h00,Sintético,Contabilidade,1,2,Eng. Mecânica,1,,Excel,Excel,False,False,,724,1403,2.0,2.0,1.0717734625362931,214.35469250725862,214.35469250725862,-0.0019194005455964555,0.0019194005455964724,0,0,724,1403,False,True,True,0,0,724,1403
1,2025-10-23 00:00:00,21h00,Sintético,Marketing,1,3,Matemática,2,B,Excel,Excel,False,False,,497,387,2.0,2.0,1.1161231740339044,223.22463480678087,223.22463480678087,-0.7336337024138074,0.7336337024138073,-164,164,333,551,False,True,True,0,0,333,551
1,2025-10-23 00:00:00,22h00,Sintético,Gestão,7,0,Música,2,B,Excel,Excel,False,False,,726,275,2.0,2.0,1.3020054543174677,260.40109086349355,260.40109086349355,0.01546083681278887,-0.01546083681278878,4,-4,730,271,False,True,True,0,0,730,271
1,2025-10-23 00:00:00,23h00,Sintético,Eng. Química,6,0,MTC,2,B,Excel,Excel,False,False,,616,389,2.0,2.0,1.2820888539868154,256.41777079736306,256.41777079736306,0.10999939620273003,-0.10999939620273004,28,-28,644,361,False,True,True,0,0,644,361
2,2025-11-03 00:00:00,21H00,Sintético,Biotecnologia,3,1,Eng. Computadores e Telemática,1,,Excel,Excel,False,False,,1070,696,1.4344650847254958,1.4344650847254958,1.1161231740339044,160.1039723404634,160.1039723404634,0.030928290453256402,-0.03092829045325642,5,-5,1075,691,False,True,True,0,0,1075,691
2,2025-11-03 00:00:00,22H00,Sintético,Eng. Eletrónica e Telecomunicações,0,4,Fisioterapia,1,,Excel,Excel,False,False,,895,1170,1.4344650847254958,1.4344650847254958,1.2311444133449163,176.60336751981365,176.60336751981365,-0.07358755611757352,0.07358755611757362,-13,13,882,1183,False,True,True,0,0,882,1183
2,2025-11-04 00:00:00,21h00,Sintético,Música,1,4,Eng. Química,2,B,Excel,Excel,False,False,,271,644,1.3333333333333333,1.3333333333333333,1.148698354997035,153.15978066627133,153.15978066627133,-0.031205536127479425,0.03120553612747945,-5,5,266,649,False,True,True,0,0,266,649
2,2025-11-04 00:00:00,22h00,Sintético,Ciências Biomédicas,6,2,Biologia e Geologia,2,B,Excel,Excel,False,False,,816,217,1.3333333333333333,2.0,1.1161231740339044,148.81642320452056,223.22463480678087,0.004001829126792145,-0.004001829126792073,1,-1,817,216,False,True,True,0,0,817,216
